sptensor
4
8 72 54 32
157
7	47	7	9	1
6	53	17	12	2
6	53	19	12	1
6	53	47	3	2
7	56	47	8	1
6	43	47	3	1
7	19	6	14	1
6	46	21	5	1
5	42	25	16	1
7	41	41	20	1
7	59	47	3	1
7	7	43	22	3
3	60	47	12	3
7	24	47	3	1
2	28	17	12	1
7	56	47	12	3
0	34	27	2	1
7	21	17	12	1
7	32	39	3	1
7	32	40	25	1
6	68	50	7	1
7	44	47	3	1
6	66	8	13	1
6	38	25	16	1
6	24	29	3	1
7	36	41	20	1
6	6	27	4	1
7	46	47	3	1
6	12	17	7	1
6	16	47	3	1
6	47	46	18	1
7	9	47	3	51
7	60	45	8	1
3	54	44	14	1
5	46	34	14	1
7	35	14	3	25
6	40	46	18	1
6	45	47	3	2
6	47	47	3	5
6	46	26	7	1
7	11	29	3	1
0	19	0	2	17
7	34	47	3	9
7	60	3	8	1
7	8	42	21	1
7	5	47	3	2
2	52	10	28	1
6	47	29	3	7
6	6	31	4	1
6	13	41	20	1
5	19	16	11	1
1	1	17	12	1
6	47	7	29	1
5	32	47	31	1
7	45	47	3	4
7	27	47	3	9
6	15	22	14	1
4	2	40	15	1
7	51	41	20	1
7	30	47	3	9
6	64	39	3	2
6	0	47	3	28
7	26	47	3	1
7	14	47	3	3
3	61	15	14	1
7	31	47	3	13
7	19	47	3	2
7	56	47	26	1
7	60	11	8	2
6	47	49	10	2
6	24	47	3	1
6	71	37	30	1
6	39	25	16	1
7	10	47	3	5
0	60	4	2	15
7	64	39	3	24
7	50	29	3	1
7	64	40	25	1
7	64	29	27	2
6	65	46	18	1
7	67	47	12	1
6	17	47	3	1
6	47	49	19	3
7	60	47	3	27
6	18	47	3	1
7	70	47	3	11
7	14	51	5	1
7	63	47	3	18
7	54	45	9	1
6	47	20	29	1
7	11	47	3	1
7	60	24	8	1
7	5	29	3	1
7	67	29	12	2
7	60	2	8	1
7	62	47	3	3
7	47	36	21	1
6	25	25	16	1
7	14	38	20	1
6	3	38	20	1
6	57	47	3	1
3	43	33	14	4
3	32	40	23	1
7	15	29	3	1
6	53	17	6	7
7	21	17	6	3
0	4	48	2	1
7	37	47	3	2
7	54	7	9	1
7	0	47	3	82
6	14	46	18	2
6	28	29	7	1
3	16	28	14	1
7	46	32	5	1
7	58	38	20	1
7	60	5	8	1
5	54	46	18	1
7	68	47	3	2
7	43	47	3	3
7	46	35	5	1
7	46	38	20	1
6	49	25	16	1
7	67	47	3	13
2	18	40	23	1
7	56	47	6	1
3	14	8	14	2
0	34	27	17	1
7	19	40	24	1
3	46	9	14	1
3	64	40	25	1
7	33	47	3	351
6	46	47	3	2
6	22	25	16	1
5	26	18	7	1
7	48	41	20	1
7	40	38	20	1
6	50	23	14	1
7	69	47	3	9
3	32	40	25	1
7	50	47	3	9
7	21	47	3	3
7	60	12	8	1
6	50	47	3	1
7	56	40	25	1
7	1	47	3	12
7	55	41	20	1
7	32	53	14	1
6	56	40	23	1
7	46	13	5	1
0	19	30	2	57
6	6	20	4	1
7	23	47	3	10
6	29	22	0	1
6	20	25	16	1
3	46	52	14	1
3	43	1	14	5
6	61	47	1	1
